,name,country,teams,total_maps,total_rounds,kd_diff,kd,rating
0,ZywOo,France,['Vitality'],854,22399,5248,1.38,1.28
1,s1mple,Ukraine,['Natus Vincere'],1429,37717,8070,1.33,1.25
2,deko,Russia,['1WIN'],190,5096,1250,1.42,1.24
3,saffee,Brazil,['paiN'],202,5383,1211,1.37,1.24
4,sh1ro,Russia,['Gambit'],744,19780,4593,1.43,1.22
5,m0NESY,Russia,['NAVI Junior'],144,3687,709,1.31,1.21
6,Kaze,Malaysia,['ViCi'],784,20459,3900,1.32,1.20
7,degster,Russia,['Spirit'],555,14868,2745,1.31,1.19
8,sterling,New Zealand,['AVANT'],702,18010,3532,1.33,1.19
9,d4v41,Malaysia,['BOOT'],308,8005,1358,1.27,1.18
10,smooya,United Kingdom,['BIG'],737,19476,3163,1.26,1.18
11,cLy,Germany,['3DMAX'],107,2756,461,1.26,1.18
12,w0nderful,Ukraine,['Trasko'],106,2851,495,1.29,1.18
13,fxy0,France,['Epsilon'],186,4859,784,1.25,1.17
14,MisteM,South Africa,['ATK'],103,2624,376,1.22,1.17
15,XANTARES,Turkey,['Space Soldiers'],1511,39753,5320,1.2,1.17
16,Woro2k,Ukraine,['MAD Lions'],129,3485,511,1.22,1.17
17,Laz,Japan,['SCARZ Absolute'],269,6862,1148,1.27,1.17
18,DANK1NG,China,['TYLOO'],305,8099,1269,1.24,1.16
19,SENSEi,Ukraine,['Akuma'],341,8975,1669,1.33,1.16
20,try,Argentina,['9z'],185,4854,820,1.28,1.16
21,coldzera,Brazil,['SK'],1336,34861,5661,1.26,1.16
22,device,Denmark,['Astralis'],1733,45159,7005,1.25,1.16
23,JamYoung,China,['ViCi'],265,6992,1044,1.24,1.16
24,cosmeeeN,Romania,['Epsilon'],319,8310,1109,1.2,1.16
25,Sico,New Zealand,['Renegades'],824,20947,3686,1.3,1.16
26,XigN,Korea,['MVP PK'],638,16454,2321,1.22,1.16
27,BnTeT,Indonesia,['TYLOO'],969,25236,3742,1.24,1.16
28,torzsi,Hungary,['mouz NXT'],315,8498,1225,1.23,1.16
29,blameF,Denmark,['Complexity'],715,19154,3110,1.27,1.16
30,z4kr,China,['Lynn Vision'],199,5271,715,1.21,1.15
31,NiKo,Bosnia and Herzegovina,['G2'],1493,39556,4942,1.19,1.15
32,nettik,New Zealand,['Rooster'],240,6182,798,1.2,1.15
33,KSCERATO,Brazil,['FURIA'],806,20993,3430,1.28,1.15
34,vsm,Brazil,['DETONA'],448,11827,1496,1.19,1.15
35,XELLOW,Romania,['Nexus'],915,23961,2878,1.18,1.14
36,Benkai,Singapore,['BOOT-d[S]'],603,15560,2046,1.2,1.14
37,ju1ces,Australia,['Rooster'],222,5737,734,1.2,1.14
38,dizzyLife,Australia,['Legacy'],345,8772,1208,1.22,1.14
39,Jame,Russia,['Virtus.pro'],1065,28226,4765,1.3,1.14
40,El1an,Russia,['Entropiq'],1046,27968,3977,1.23,1.14
41,sk0R,Mongolia,['NKT'],211,5723,663,1.17,1.13
42,Texta,Australia,['Chiefs'],625,15713,1750,1.16,1.13
43,zAAz,Sweden,['Secret fe'],227,5502,606,1.16,1.13
44,oskar,Czech Republic,['Sinners'],1347,35564,4509,1.2,1.13
45,mhL,Poland,['AGO'],357,9572,1235,1.2,1.13
46,woxic,Turkey,['HellRaisers'],917,23999,3065,1.21,1.13
47,dav1d,Chile,['Paquetá],227,5942,633,1.16,1.13
48,zevy,Brazil,['Sharks'],133,3506,455,1.21,1.13
49,SunPayus,Spain,['Movistar Riders'],157,4244,554,1.21,1.13
50,keiz,Brazil,['Santos'],133,3587,573,1.28,1.13
51,fredi,Czech Republic,['eSuba'],231,5987,661,1.17,1.13
52,mantuu,Poland,['OG'],622,16657,2151,1.21,1.13
53,kennyS,France,['G2'],1843,48634,6344,1.21,1.13
54,frozen,Slovakia,['mousesports'],1080,28215,3189,1.17,1.13
55,huNter-,Bosnia and Herzegovina,['G2'],1330,34977,3844,1.16,1.13
56,Petra,Netherlands,['XSET'],102,2487,262,1.16,1.13
57,erkaSt,Mongolia,['Grayhound'],830,21491,2460,1.17,1.12
58,yuurih,Brazil,['FURIA'],898,23462,2802,1.19,1.12
59,dream3r,Bulgaria,['Fiend'],1006,26099,3512,1.22,1.12
60,xsepower,Russia,['forZe'],1061,28504,4168,1.25,1.12
61,mattcd,Australia,['Legacy'],234,5998,776,1.21,1.12
62,prelideN,Latvia,['Latvia'],106,2768,184,1.09,1.12
63,Freeman,Hong Kong,['ViCi'],728,18573,2146,1.18,1.12
64,kNgV-,Brazil,['MIBR'],795,20744,2373,1.17,1.12
65,deoxiDE,Australia,['Legacy'],136,3439,412,1.19,1.12
66,GooseBreeder,Canada,['CLG Red'],156,3830,454,1.18,1.12
67,Calyx,Turkey,['Space Soldiers'],856,22293,2696,1.19,1.12
68,jOELZ,Finland,['nerdRage'],247,6433,720,1.17,1.12
69,liTTle,Russia,['forZe'],458,12159,1550,1.2,1.12
70,NEOFRAG,Czech Republic,['Sinners'],440,11805,1102,1.14,1.12
71,asap,Australia,['Rooster'],189,4896,510,1.15,1.12
72,cath,Canada,['Dignitas fe'],160,3977,405,1.15,1.12
73,f0rsakeN,Indonesia,['BOOM'],104,2684,236,1.13,1.12
74,Jamppi,Finland,['SJ'],503,13449,1408,1.16,1.12
75,INS,Australia,['Renegades'],868,22077,2384,1.17,1.12
76,ropz,Estonia,['mousesports'],1001,26414,3251,1.2,1.12
77,wrath,United States,['New Identity'],525,13568,1239,1.13,1.12
78,chelleos,New Zealand,['Rooster'],474,12189,1119,1.13,1.12
79,GuardiaN,Slovakia,['Natus Vincere'],1519,39782,4753,1.19,1.11
80,Twistzz,Canada,['Liquid'],1227,32124,3594,1.18,1.11
81,f0rest,Sweden,['Dignitas'],1929,49895,5571,1.17,1.11
82,CigaretteS,Thailand,['Signature'],205,5361,539,1.15,1.11
83,Luken,Argentina,['Sharks'],239,6097,667,1.17,1.11
84,hades,Poland,['ENCE'],424,11431,1413,1.2,1.11
85,dexter,Australia,['mousesports'],868,22253,2293,1.16,1.11
86,PTC,Thailand,['Lucid Dream'],476,12393,1408,1.18,1.11
87,Brehze,United States,['Evil Geniuses'],1091,28547,2793,1.15,1.11
88,CeRq,Bulgaria,['Evil Geniuses'],1130,29452,3399,1.19,1.11
89,FpSSS,Russia,['GROND'],102,2720,322,1.19,1.11
90,ZELIN,Portugal,['AlienTech'],322,8462,856,1.15,1.11
91,splashske,Singapore,['HZ'],722,18651,1811,1.15,1.11
92,poizon,Bulgaria,['Complexity'],1041,27621,2906,1.17,1.11
93,jeyN,France,['Heretics'],122,3354,345,1.16,1.11
"94,m1tch,Australia,""['Corvidae', 'TRIDENT']"",110,2958,285,1.14,1.11"
95,FREDDyFROG,Sweden,['Apeks'],1171,31220,3578,1.18,1.11
96,ottoNd,Finland,['HAVU'],820,21635,2505,1.19,1.11
97,gxx-,Albania,['BLINK'],145,3818,467,1.2,1.11
98,zorte,Russia,['forZe'],518,13789,1650,1.19,1.11
99,havoK,India,['NASR'],237,6247,581,1.14,1.11
100,saveeey,Slovenia,['KlikTech'],141,3553,312,1.13,1.11
101,Nivera,Belgium,['Heretics'],192,5130,566,1.18,1.11
102,crazyguy,Vietnam,['Recca'],184,4594,411,1.13,1.11
103,Infinite,United States,['Party Astronauts'],669,17474,1649,1.14,1.11
104,DeathMakeR,India,['Entity'],105,2717,244,1.13,1.11
"105,wippie,Russia,[""""Ben's Anime Team""""],116,3030,359,1.19,1.11"
106,TenZ,Canada,['Bad News Bears'],401,10399,839,1.12,1.10
107,xeta,Korea,['MVP PK'],351,8823,918,1.16,1.10
108,ekul,Australia,['Paradox'],428,11069,977,1.13,1.10
109,HEN1,Brazil,['Immortals'],1020,26519,3406,1.22,1.10
110,Olivia,Thailand,['Beyond'],634,16189,1565,1.15,1.10
111,zEptonL,Denmark,['Singularity'],117,3082,261,1.12,1.10
112,mertz,Denmark,['North Academy'],955,25333,2594,1.16,1.10
113,Izzy,Turkey,['9INE'],113,3003,328,1.17,1.10
114,Nami,United Arab Emirates,['NASR'],199,5201,476,1.14,1.10
115,Vexite,Australia,['ORDER'],208,5228,434,1.12,1.10
116,WARDELL,Canada,['Ghost'],609,15901,1648,1.17,1.10
117,swag,United States,['Swole Patrol'],556,14447,1629,1.18,1.10
118,mir,Russia,['Spirit'],938,24644,2439,1.15,1.10
119,Farlig,Denmark,['FunPlus Phoenix'],602,16090,1665,1.16,1.10
120,nawwk,Sweden,['GamerLegion'],756,20188,2261,1.18,1.10
121,biguzera,Brazil,['paiN'],388,10363,1061,1.16,1.10
122,xccurate,Indonesia,['TYLOO'],656,16971,1661,1.15,1.10
123,h4rn,Bulgaria,['Fiend'],404,10718,1206,1.19,1.10
124,aliStair,Australia,['ORDER'],979,24933,2631,1.17,1.10
125,witz,Philippines,['Bren'],336,8746,931,1.17,1.10
126,electronic,Russia,['Natus Vincere'],1176,31005,2823,1.14,1.10
127,Zac,Vietnam,['Born Of Fire'],130,3264,292,1.13,1.10
128,dumau,Brazil,['GODSENT'],300,8000,887,1.18,1.10
129,Ax1Le,Russia,['Gambit'],807,21427,2144,1.16,1.10
